OrderID,OrderDate,Supplier,Product,Quantity, Unit_Price ,Delivery_Days,Warehouse,Customer_Region,Order_Status, Total Sales ,Delivery_Status
APX1273,4/9/2025,Nestle,Laptop,30,4500,2,Unknown,South-West,Pending,135000,Fast
APX1357,3/26/2025,Unilever,Laptop,2500,47538,95,Lagos,South-South,Delivered,118845000,Late
APX1176,3/11/2025,Pz,Laptop,47,800,3,Lagos,South-West,Delivered,37600,Fast
APX1213,6/11/2025,Dangote,Cement,30,850000,3,Abuja,South-South,Delivered,25500000,Fast
APX1019,4/25/2025,Pz,Laptop,12,800,3,Unknown,South-South,Delivered,9600,Fast
APX1412,5/21/2025,Dangote,Laptop,30,4500,3,Abuja,South-West,Delivered,135000,Fast
APX1194,10/28/2025,Dangote,Noodles,30,850000,3,Port Harcourt,South-South,Returned,25500000,Fast
APX1050,12/11/2025,Pz,Laptop,30,4500,3,Unknown,South-South,Delivered,135000,Fast
APX1277,3/18/2025,Pz,Cement,30,30900,95,Unknown,North-East,Delivered,927000,Late
APX1336,4/2/2025,Bua,Laptop,136,6469,2,Port Harcourt,South-South,Delivered,879784,Fast
APX1049,10/2/2025,Pz,Noodles,30,850000,95,Port Harcourt,South-South,Delivered,25500000,Late
APX1273,11/6/2025,Nestle,Laptop,51,4500,3,Abuja,North-East,Delivered,229500,Fast
APX1309,10/18/2025,Unilever,Laptop,26,800,3,Kano,North-East,Delivered,20800,Fast
APX1002,8/30/2025,Unilever,Laptop,30,16574,3,Lagos,South-South,Delivered,497220,Fast
APX1271,12/5/2025,Bua,Cement,30,6024,3,Port Harcourt,South-South,Pending,180720,Fast
APX1207,11/23/2025,Bua,Noodles,2500,800,12,Abuja,South-West,Delivered,2000000,Late
APX1011,5/30/2025,Bua,Cement,12,4500,95,Port Harcourt,South-South,Delivered,54000,Late
APX1088,1/6/2025,N/A,Laptop,2500,850000,95,Lagos,South-South,Pending,2125000000,Late
APX1413,12/24/2025,Bua,Soap,2500,3766,3,Lagos,South-South,Delivered,9415000,Fast
APX1294,10/18/2025,Pz,Noodles,12,850000,95,Port Harcourt,North-East,Delivered,10200000,Late
APX1279,7/17/2025,Bua,Laptop,12,4500,5,Lagos,South-South,Pending,54000,Normal
